store_nbr,item_nbr,units,season
42,45,101,winter
42,82,4,winter
43,16,99,winter
43,37,22,winter
44,5,55,winter
44,62,5,winter
44,68,64,winter
45,9,8,winter
45,50,1,winter
1,9,50,winter
1,28,1,winter
1,51,1,winter
2,5,53,winter
2,44,99,winter
3,5,82,winter
3,45,89,winter
4,9,85,winter
4,27,8,winter
5,16,49,winter
5,20,1,winter
5,32,7,winter
5,37,21,winter
6,9,56,winter
6,45,42,winter
7,5,133,winter
7,23,17,winter
7,93,4,winter
8,5,29,winter
8,23,6,winter
8,59,4,winter
9,5,57,winter
9,45,89,winter
10,5,40,winter
10,21,1,winter
10,37,31,winter
10,86,1,winter
11,9,22,winter
11,61,1,winter
11,68,44,winter
12,16,40,winter
12,37,25,winter
13,5,116,winter
13,36,103,winter
13,46,3,winter
14,9,13,winter
14,70,2,winter
15,5,111,winter
15,17,3,winter
15,45,111,winter
15,61,1,winter
16,16,37,winter
16,25,135,winter
17,9,288,winter
17,37,78,winter
17,48,118,winter
17,71,2,winter
18,5,35,winter
18,37,5,winter
19,16,12,winter
19,69,1,winter
19,83,8,winter
20,5,52,winter
20,41,24,winter
20,74,9,winter
21,5,51,winter
21,44,83,winter
21,91,1,winter
22,9,112,winter
22,68,46,winter
22,93,4,winter
23,5,31,winter
23,45,37,winter
24,6,109,winter
24,43,91,winter
24,76,1,winter
25,9,164,winter
25,45,132,winter
25,81,11,winter
26,5,51,winter
26,45,37,winter
27,9,50,winter
27,68,64,winter
27,80,1,winter
27,93,12,winter
28,5,28,winter
28,35,2,winter
28,45,49,winter
29,8,26,winter
29,41,25,winter
29,45,63,winter
29,56,1,winter
30,16,53,winter
30,44,310,winter
31,9,41,winter
31,45,15,winter
32,9,54,winter
32,45,57,winter
33,9,157,winter
33,44,166,winter
33,92,2,winter
34,9,56,winter
34,31,2,winter
34,45,94,winter
36,9,86,winter
36,30,1,winter
36,44,89,winter
37,5,94,winter
37,45,51,winter
37,53,1,winter
38,9,37,winter
38,45,76,winter
39,9,3,winter
39,36,8,winter
40,5,63,winter
40,45,72,winter
41,16,82,winter
41,61,4,winter
41,68,59,winter
42,5,19,winter
42,45,69,winter
42,82,1,winter
43,16,69,winter
43,37,21,winter
43,73,1,winter
44,5,68,winter
44,62,2,winter
44,68,42,winter
45,9,20,winter
1,9,25,winter
2,5,267,winter
2,44,184,winter
2,85,1,winter
2,93,1,winter
3,5,95,winter
3,45,97,winter
3,93,8,winter
4,9,57,winter
4,27,5,winter
5,16,52,winter
5,20,1,winter
5,37,14,winter
5,93,2,winter
6,9,77,winter
6,45,45,winter
7,5,148,winter
7,7,4,winter
7,23,13,winter
8,5,74,winter
8,23,8,winter
9,5,101,winter
9,45,73,winter
10,5,56,winter
10,21,1,winter
10,37,24,winter
11,9,31,winter
11,61,1,winter
11,68,20,winter
11,86,1,winter
12,16,33,winter
12,37,25,winter
12,86,1,winter
12,93,2,winter
13,5,136,winter
13,36,75,winter
13,93,5,winter
14,9,5,winter
14,25,15,winter
15,5,81,winter
15,45,78,winter
15,61,3,winter
16,16,53,winter
16,25,163,winter
17,9,179,winter
17,37,75,winter
17,48,118,winter
17,71,1,winter
18,5,23,winter
18,37,8,winter
19,16,13,winter
19,83,2,winter
20,5,244,winter
20,41,36,winter
20,74,2,winter
21,5,68,winter
21,44,85,winter
21,91,3,winter
22,9,156,winter
22,68,53,winter
23,5,47,winter
23,45,26,winter
24,6,13,winter
24,43,74,winter
25,9,18,winter
25,45,115,winter
25,81,17,winter
26,5,93,winter
26,45,50,winter
27,21,2,winter
27,68,62,winter
27,93,4,winter
28,5,77,winter
28,45,69,winter
29,8,64,winter
29,41,40,winter
29,45,105,winter
30,16,46,winter
30,44,191,winter
30,49,2,winter
31,9,83,winter
31,45,37,winter
32,9,76,winter
32,45,56,winter
33,9,326,winter
33,44,388,winter
33,92,1,winter
34,9,24,winter
34,31,1,winter
34,45,142,winter
34,52,2,winter
36,9,75,winter
36,30,5,winter
36,44,97,winter
37,5,58,winter
37,45,39,winter
38,9,185,winter
38,45,125,winter
39,9,2,winter
39,36,9,winter
40,5,67,winter
40,45,45,winter
40,51,5,winter
41,16,82,winter
41,61,4,winter
41,68,79,winter
41,86,1,winter
42,5,119,winter
42,45,105,winter
42,82,3,winter
43,16,65,winter
43,37,23,winter
44,5,47,winter
44,62,2,winter
44,68,61,winter
1,9,26,winter
1,28,1,winter
1,40,4,winter
1,51,3,winter
2,5,91,winter
2,11,2,winter
2,44,123,winter
3,5,172,winter
3,45,75,winter
4,9,57,winter
4,27,11,winter
4,90,2,winter
5,16,44,winter
5,20,3,winter
5,32,1,winter
5,37,11,winter
6,9,8,winter
6,45,37,winter
7,5,54,winter
7,7,6,winter
7,23,8,winter
8,5,61,winter
8,23,9,winter
8,59,1,winter
9,5,77,winter
9,10,2,winter
9,45,79,winter
10,5,48,winter
10,37,11,winter
11,9,38,winter
11,61,3,winter
11,68,22,winter
12,16,26,winter
12,37,25,winter
13,5,125,winter
13,36,92,winter
13,46,3,winter
13,93,2,winter
14,9,18,winter
14,25,13,winter
15,5,137,winter
15,45,73,winter
16,16,51,winter
16,25,208,winter
17,9,200,winter
17,37,67,winter
17,48,175,winter
17,71,2,winter
18,5,9,winter
18,37,10,winter
19,16,17,winter
19,83,4,winter
20,5,73,winter
20,41,28,winter
20,74,13,winter
21,5,38,winter
21,44,83,winter
22,9,10,winter
22,68,55,winter
23,5,16,winter
23,29,1,winter
23,45,32,winter
24,6,21,winter
24,43,61,winter
25,9,50,winter
25,45,72,winter
25,81,10,winter
26,5,54,winter
26,45,50,winter
27,9,24,winter
27,68,47,winter
28,5,92,winter
28,45,55,winter
29,8,13,winter
29,41,23,winter
29,45,71,winter
29,56,1,winter
30,16,65,winter
30,44,236,winter
30,49,6,winter
30,51,1,winter
30,65,2,winter
31,9,81,winter
31,45,38,winter
32,9,82,winter
32,45,35,winter
32,51,2,winter
32,58,4,winter
33,9,97,winter
33,44,210,winter
33,92,3,winter
34,9,88,winter
34,31,4,winter
34,45,121,winter
34,52,3,winter
36,9,39,winter
36,30,3,winter
36,44,103,winter
37,5,40,winter
37,45,38,winter
37,53,3,winter
38,9,82,winter
38,45,86,winter
39,36,14,winter
40,5,79,winter
40,45,29,winter
40,51,3,winter
40,55,5,winter
41,16,41,winter
41,61,4,winter
41,68,66,winter
42,5,57,winter
42,45,65,winter
42,82,1,winter
43,16,55,winter
43,37,17,winter
44,5,23,winter
44,68,36,winter
45,9,10,winter
1,9,32,winter
1,28,2,winter
1,51,4,winter
1,93,3,winter
2,5,76,winter
2,44,81,winter
2,85,1,winter
3,5,25,winter
3,45,68,winter
4,9,73,winter
4,27,7,winter
4,90,1,winter
5,16,36,winter
5,20,1,winter
5,37,16,winter
5,93,1,winter
6,9,56,winter
6,45,43,winter
7,5,129,winter
7,7,3,winter
7,23,15,winter
8,5,80,winter
8,23,5,winter
8,59,3,winter
9,5,129,winter
9,45,54,winter
10,5,61,winter
10,37,19,winter
11,9,43,winter
11,61,2,winter
11,68,37,winter
12,16,41,winter
12,37,27,winter
12,79,2,winter
12,93,1,winter
13,5,180,winter
13,36,76,winter
13,46,4,winter
14,9,11,winter
14,25,16,winter
15,5,58,winter
15,17,1,winter
15,45,77,winter
15,61,1,winter
15,93,4,winter
16,16,31,winter
16,25,111,winter
16,39,6,winter
17,9,173,winter
17,37,82,winter
17,48,192,winter
18,5,36,winter
18,37,6,winter
19,16,7,winter
19,39,4,winter
19,83,2,winter
20,5,112,winter
20,41,23,winter
20,74,2,winter
21,5,26,winter
21,44,70,winter
22,9,23,winter
22,68,60,winter
23,5,17,winter
23,45,29,winter
24,6,48,winter
24,43,59,winter
24,76,1,winter
25,9,55,winter
25,45,102,winter
25,81,9,winter
25,84,1,winter
26,5,47,winter
26,45,40,winter
27,9,15,winter
27,21,4,winter
27,68,39,winter
28,5,54,winter
28,45,56,winter
29,8,24,winter
29,41,19,winter
29,45,72,winter
29,56,6,winter
30,16,60,winter
30,44,205,winter
30,49,22,winter
30,51,31,winter
30,65,1,winter
31,9,87,winter
31,45,61,winter
32,9,76,winter
32,19,1,winter
32,45,40,winter
32,51,2,winter
32,58,1,winter
33,9,97,winter
33,44,154,winter
34,9,49,winter
34,31,2,winter
34,45,82,winter
36,9,132,winter
36,30,1,winter
36,44,107,winter
37,5,41,winter
37,45,62,winter
38,9,55,winter
38,45,86,winter
38,93,1,winter
39,9,24,winter
39,36,15,winter
40,5,101,winter
40,45,52,winter
40,51,1,winter
40,55,3,winter
41,16,46,winter
41,68,85,winter
42,5,41,winter
42,45,68,winter
42,82,1,winter
43,16,63,winter
43,37,34,winter
44,5,16,winter
44,68,55,winter
45,9,16,winter
1,9,29,winter
1,28,3,winter
1,40,1,winter
1,51,5,winter
2,5,89,winter
2,44,102,winter
3,5,84,winter
3,45,70,winter
4,9,67,winter
4,27,6,winter
5,16,49,winter
5,20,3,winter
5,32,3,winter
5,37,14,winter
6,9,25,winter
6,45,46,winter
7,5,104,winter
7,7,1,winter
7,23,17,winter
8,5,30,winter
8,23,12,winter
9,5,71,winter
9,45,75,winter
10,5,55,winter
10,21,2,winter
10,37,13,winter
10,86,1,winter
10,93,2,winter
11,9,68,winter
11,61,1,winter
11,68,39,winter
11,86,2,winter
12,16,34,winter
12,37,38,winter
13,5,254,winter
13,36,94,winter
13,46,5,winter
13,93,2,winter
14,9,21,winter
14,25,23,winter
15,5,72,winter
15,45,139,winter
15,61,2,winter
16,16,43,winter
16,25,227,winter
16,39,2,winter
17,9,192,winter
17,37,70,winter
17,48,165,winter
18,5,8,winter
18,37,10,winter
19,16,24,winter
19,39,2,winter
19,83,8,winter
20,5,70,winter
20,18,2,winter
20,41,26,winter
21,5,32,winter
21,44,64,winter
21,91,2,winter
22,9,53,winter
22,68,56,winter
22,93,11,winter
23,5,23,winter
23,29,1,winter
23,45,29,winter
24,6,80,winter
24,43,97,winter
24,76,1,winter
25,9,127,winter
25,45,114,winter
25,81,14,winter
26,5,42,winter
26,45,44,winter
27,9,40,winter
27,21,1,winter
27,68,69,winter
27,80,1,winter
28,5,49,winter
28,35,1,winter
28,45,48,winter
29,8,17,winter
29,41,17,winter
29,45,83,winter
29,56,2,winter
30,16,62,winter
30,44,170,winter
30,49,1,winter
31,9,67,winter
31,45,75,winter
32,9,14,winter
32,19,1,winter
32,45,49,winter
32,51,1,winter
32,58,4,winter
33,9,137,winter
33,44,163,winter
34,9,19,winter
34,31,5,winter
34,45,125,winter
34,52,1,winter
34,93,1,winter
36,9,99,winter
36,30,1,winter
36,44,98,winter
37,5,90,winter
37,45,71,winter
